,C1.In,C1.Soil,C2.In,C2.Soil,C3.In,C3.Soil,C4.In,C5.In,C6.In,C7.In,C8.In,R1.In,R1.Soil,R2.In,R2.Soil,R3.In,R3.Soil,R4.In,R5.In,R6.In,R7.In,R8.In
C1.In,0.0,0.8909430534409744,0.8364621343591842,0.8972412848001855,0.8878051791721967,0.984082038723502,0.8397685570839993,0.8894376992140928,0.9221496123716362,0.9491658289603526,0.8755313176678162,0.9025128343690895,0.9317012318727584,0.9331242012315557,0.9377997270777828,0.9240415707143624,0.9474907477142602,0.9611554278353069,0.8772914586131295,0.9176832797055487,0.9225356348108498,0.8854363293161028
C1.Soil,0.8909430534409744,0.0,0.8848667363202426,0.5761602344894968,0.8486646492143829,0.9768329706698633,0.7388215748617915,0.89803096260847,0.9295014005602241,0.8989873046158362,0.9047961630695444,0.8657064400808249,0.8728780445447836,0.9221700314181728,0.9310225002171836,0.9273238305561132,0.8633410005750431,0.9486721144024515,0.5909501717177803,0.8416012317167052,0.9600164316034506,0.7420702621775008
C2.In,0.8364621343591842,0.8848667363202426,0.0,0.8671541529634036,0.7768296200884202,0.9602624304792353,0.8620855224886657,0.7693784060184082,0.8785557523323702,0.9235472571464315,0.8604938734215161,0.873917314045897,0.9096877236286701,0.8784100061590941,0.9149880717767866,0.7662528806863296,0.935864789993564,0.7843329456720386,0.8628661500065677,0.8464619366539773,0.8418908382066277,0.8359204379633529
C2.Soil,0.8972412848001855,0.5761602344894968,0.8671541529634036,0.0,0.8552205683355887,0.9809093730269987,0.8006316238157053,0.8926297690413123,0.9320038482234578,0.909619435472546,0.9029203787303743,0.9191378562129322,0.9457908644771612,0.9168867325840857,0.9598731245594603,0.8851635614321285,0.5785861677215923,0.9152510440543851,0.6798140131473465,0.8694918356142098,0.9349653700396393,0.7625432049842591
C3.In,0.8878051791721967,0.8486646492143829,0.7768296200884202,0.8552205683355887,0.0,0.9690128099109079,0.8885182868922706,0.7616237200870796,0.8418488444722049,0.9265642845681168,0.8764549796568194,0.7929073603074291,0.933716495675995,0.871910219903807,0.8894932645688115,0.796928222722298,0.9399314021240547,0.8398610137462281,0.8241973791489915,0.8753902991300203,0.786526467196548,0.8757423025101053
C3.Soil,0.984082038723502,0.9768329706698633,0.9602624304792353,0.9809093730269987,0.9690128099109079,0.0,0.9796614047128803,0.7726180025106044,0.9809335557065497,0.989347486847884,0.9761730077210635,0.8676998386583398,0.9835323396256387,0.9439378189378189,0.9593809164449034,0.9894411068632806,0.9512898442684056,0.9837187565954111,0.9753800917120754,0.9703002918196366,0.9647091934753613,0.985424104394928
C4.In,0.8397685570839993,0.7388215748617915,0.8620855224886657,0.8006316238157053,0.8885182868922706,0.9796614047128803,0.0,0.8497382787612278,0.8732684726391551,0.7986529816971203,0.7791656257806645,0.870441400304414,0.8874384382602504,0.8962167211583372,0.9585695207004007,0.8768214206464656,0.9529869255792505,0.8913725830226307,0.6807623042378097,0.8532492815425976,0.9432869499811959,0.6298421079352186
C5.In,0.8894376992140928,0.89803096260847,0.7693784060184082,0.8926297690413123,0.7616237200870796,0.7726180025106044,0.8497382787612278,0.0,0.7460812602355144,0.9362129179880374,0.8210864247859764,0.7145143184695121,0.8717892297085186,0.7835228963678946,0.9066580592153526,0.8207725733784756,0.903257306270489,0.7904654393886766,0.8725137239882548,0.8509489634201337,0.8424436434066821,0.8673923934088847
C6.In,0.9221496123716362,0.9295014005602241,0.8785557523323702,0.9320038482234578,0.8418488444722049,0.9809335557065497,0.8732684726391551,0.7460812602355144,0.0,0.9473129047332933,0.8868029843526151,0.8117276102324162,0.9585905112851221,0.7626299158640119,0.9238867515952913,0.8274620571678635,0.9707160883631472,0.6300330963653363,0.8719695414419291,0.8880481253074042,0.8634246658198754,0.8680459395617822
C7.In,0.9491658289603526,0.8989873046158362,0.9235472571464315,0.909619435472546,0.9265642845681168,0.989347486847884,0.7986529816971203,0.9362129179880374,0.9473129047332933,0.0,0.9316988841741317,0.9282436984551051,0.9416167945519014,0.9349215758527324,0.9617578623433161,0.9386594853381209,0.9856155464289292,0.9563562941678962,0.8332913147611244,0.9351980237469121,0.9592145523015366,0.8169551287484531
C8.In,0.8755313176678162,0.9047961630695444,0.8604938734215161,0.9029203787303743,0.8764549796568194,0.9761730077210635,0.7791656257806645,0.8210864247859764,0.8868029843526151,0.9316988841741317,0.0,0.8388651412287319,0.879210076193438,0.8620756500036347,0.9007590841214534,0.8301886792452831,0.9577539971022597,0.8693730619809673,0.8727195387087626,0.810274779431209,0.8110815464078885,0.8462066960864625
R1.In,0.9025128343690895,0.8657064400808249,0.873917314045897,0.9191378562129322,0.7929073603074291,0.8676998386583398,0.870441400304414,0.7145143184695121,0.8117276102324162,0.9282436984551051,0.8388651412287319,0.0,0.8764071984383774,0.653931328072929,0.8606965174129353,0.9090169491525424,0.9016729421857872,0.8560857943803377,0.8299339753564069,0.8823629881082005,0.7209014136221773,0.8550771730300568
R1.Soil,0.9317012318727584,0.8728780445447836,0.9096877236286701,0.9457908644771612,0.933716495675995,0.9835323396256387,0.8874384382602504,0.8717892297085186,0.9585905112851221,0.9416167945519014,0.879210076193438,0.8764071984383774,0.0,0.9184926636933618,0.8807352064903515,0.9372406819845891,0.9839660595420964,0.9865463996330837,0.8894620025633811,0.8811000959385993,0.858178312564716,0.8682948102921937
R2.In,0.9331242012315557,0.9221700314181728,0.8784100061590941,0.9168867325840857,0.871910219903807,0.9439378189378189,0.8962167211583372,0.7835228963678946,0.7626299158640119,0.9349215758527324,0.8620756500036347,0.653931328072929,0.9184926636933618,0.0,0.8891726746629595,0.8787141156237598,0.933160360918561,0.756215733775341,0.8532953798992774,0.8553882725832013,0.8272137065273026,0.8977886977886977
R2.Soil,0.9377997270777828,0.9310225002171836,0.9149880717767866,0.9598731245594603,0.8894932645688115,0.9593809164449034,0.9585695207004007,0.9066580592153526,0.9238867515952913,0.9617578623433161,0.9007590841214534,0.8606965174129353,0.8807352064903515,0.8891726746629595,0.0,0.7848622253226369,0.9710874400093644,0.9650908773156239,0.923072112077053,0.8520746025144759,0.7377482497499643,0.8992910379930922
R3.In,0.9240415707143624,0.9273238305561132,0.7662528806863296,0.8851635614321285,0.796928222722298,0.9894411068632806,0.8768214206464656,0.8207725733784756,0.8274620571678635,0.9386594853381209,0.8301886792452831,0.9090169491525424,0.9372406819845891,0.8787141156237598,0.7848622253226369,0.0,0.9706680140410595,0.7003039513677811,0.8625714432830441,0.7062140964771922,0.8068273092369478,0.8170444295731618
R3.Soil,0.9474907477142602,0.8633410005750431,0.935864789993564,0.5785861677215923,0.9399314021240547,0.9512898442684056,0.9529869255792505,0.903257306270489,0.9707160883631472,0.9856155464289292,0.9577539971022597,0.9016729421857872,0.9839660595420964,0.933160360918561,0.9710874400093644,0.9706680140410595,0.0,0.9675672162402236,0.926104233532019,0.9538285538002751,0.9604207475782864,0.9656956093081047
R4.In,0.9611554278353069,0.9486721144024515,0.7843329456720386,0.9152510440543851,0.8398610137462281,0.9837187565954111,0.8913725830226307,0.7904654393886766,0.6300330963653363,0.9563562941678962,0.8693730619809673,0.8560857943803377,0.9865463996330837,0.756215733775341,0.9650908773156239,0.7003039513677811,0.9675672162402236,0.0,0.9033745620933724,0.7457133027938221,0.9104799291844667,0.9148712967459932
R5.In,0.8772914586131295,0.5909501717177803,0.8628661500065677,0.6798140131473465,0.8241973791489915,0.9753800917120754,0.6807623042378097,0.8725137239882548,0.8719695414419291,0.8332913147611244,0.8727195387087626,0.8299339753564069,0.8894620025633811,0.8532953798992774,0.923072112077053,0.8625714432830441,0.926104233532019,0.9033745620933724,0.0,0.8412782698945235,0.938272898763362,0.6514584494519202
R6.In,0.9176832797055487,0.8416012317167052,0.8464619366539773,0.8694918356142098,0.8753902991300203,0.9703002918196366,0.8532492815425976,0.8509489634201337,0.8880481253074042,0.9351980237469121,0.810274779431209,0.8823629881082005,0.8811000959385993,0.8553882725832013,0.8520746025144759,0.7062140964771922,0.9538285538002751,0.7457133027938221,0.8412782698945235,0.0,0.8648295014553126,0.846690838248823
R7.In,0.9225356348108498,0.9600164316034506,0.8418908382066277,0.9349653700396393,0.786526467196548,0.9647091934753613,0.9432869499811959,0.8424436434066821,0.8634246658198754,0.9592145523015366,0.8110815464078885,0.7209014136221773,0.858178312564716,0.8272137065273026,0.7377482497499643,0.8068273092369478,0.9604207475782864,0.9104799291844667,0.938272898763362,0.8648295014553126,0.0,0.9138151060988278
R8.In,0.8854363293161028,0.7420702621775008,0.8359204379633529,0.7625432049842591,0.8757423025101053,0.985424104394928,0.6298421079352186,0.8673923934088847,0.8680459395617822,0.8169551287484531,0.8462066960864625,0.8550771730300568,0.8682948102921937,0.8977886977886977,0.8992910379930922,0.8170444295731618,0.9656956093081047,0.9148712967459932,0.6514584494519202,0.846690838248823,0.9138151060988278,0.0
